895 1675561145 1082,800000 -1,000000 -101,000000 0,000000 0,000000
895 1675561146 1082,800000 -1,000000 -101,000000 0,000000 0,000000
895 1675561147 1082,800000 -1,000000 -101,000000 0,000000 0,000000
895 1675561148 1082,800000 -1,000000 -101,000000 0,000000 0,000000
895 1675561149 1082,800000 -1,000000 -101,000000 0,000000 0,000000
895 1675561150 1567,200000 -1,000000 -101,000000 0,000000 0,000000
895 1675561151 1567,200000 -1,000000 -101,000000 0,000000 0,000000
895 1675561152 1567,200000 -1,000000 -101,000000 0,000000 0,000000
895 1675561153 1567,200000 -1,000000 -101,000000 0,000000 0,000000
895 1675561154 1567,200000 -1,000000 -101,000000 0,000000 0,000000
895 1675561155 2036,400000 -1,000000 -101,000000 0,000000 0,000000
895 1675561156 2036,400000 -1,000000 -101,000000 0,000000 0,000000
895 1675561157 2036,400000 -1,000000 -101,000000 0,000000 0,000000
895 1675561158 2036,400000 -1,000000 -101,000000 0,000000 0,000000
895 1675561159 2036,400000 -1,000000 -101,000000 0,000000 0,000000
895 1675561222 2576,000000 -1,000000 2576,000000 2576,000000 1327155,200000
895 1675561221 2576,000000 -1,000000 2576,000000 2576,000000 1327155,200000
895 1675561220 2576,000000 -1,000000 2576,000000 2576,000000 1327155,200000
895 1675561219 4072,800000 -1,000000 4072,800000 4072,800000 3317539,968000
895 1675561218 4072,800000 -1,000000 4072,800000 4072,800000 3317539,968000
895 1675561217 4072,800000 -1,000000 4072,800000 4072,800000 3317539,968000
895 1675561216 4072,800000 -1,000000 4072,800000 4072,800000 3317539,968000
895 1675561215 4072,800000 -1,000000 4072,800000 4072,800000 3317539,968000
895 1675561214 4295,000000 -1,000000 4295,000000 4295,000000 3689405,000000
895 1675561213 4295,000000 -1,000000 4295,000000 4295,000000 3689405,000000
895 1675561212 4295,000000 -1,000000 4295,000000 4295,000000 3689405,000000
895 1675561211 4295,000000 -1,000000 4295,000000 4295,000000 3689405,000000
895 1675561210 4295,000000 -1,000000 4295,000000 4295,000000 3689405,000000
895 1675561209 2944,000000 -1,000000 2944,000000 2944,000000 1733427,200000
895 1675561208 2944,000000 -1,000000 2944,000000 2944,000000 1733427,200000
895 1675561207 2944,000000 -1,000000 2944,000000 2944,000000 1733427,200000
895 1675561206 2944,000000 -1,000000 2944,000000 2944,000000 1733427,200000
895 1675561205 2944,000000 -1,000000 2944,000000 2944,000000 1733427,200000
895 1675561204 2036,400000 -1,000000 2036,400000 2036,400000 829384,992000
895 1675561203 2036,400000 -1,000000 2036,400000 2036,400000 829384,992000
895 1675561202 2036,400000 -1,000000 2036,400000 2036,400000 829384,992000
895 1675561201 2036,400000 -1,000000 2036,400000 2036,400000 829384,992000
895 1675561200 2036,400000 -1,000000 2036,400000 2036,400000 829384,992000
895 1675561199 1570,000000 -1,000000 1570,000000 1570,000000 492980,000000
895 1675561198 1570,000000 -1,000000 1570,000000 1570,000000 492980,000000
895 1675561197 1570,000000 -1,000000 1570,000000 1570,000000 492980,000000
895 1675561196 1570,000000 -1,000000 1570,000000 1570,000000 492980,000000
895 1675561195 1570,000000 -1,000000 1570,000000 1570,000000 492980,000000
895 1675561194 20938,600000 -1,000000 20938,600000 20938,600000 87684993,992000
895 1675561193 20938,600000 -1,000000 20938,600000 20938,600000 87684993,992000
895 1675561192 20938,600000 -1,000000 20938,600000 20938,600000 87684993,992000
895 1675561191 20938,600000 -1,000000 20938,600000 20938,600000 87684993,992000
895 1675561190 20938,600000 -1,000000 20938,600000 20938,600000 87684993,992000
895 1675561189 21413,600000 -1,000000 21413,600000 21413,600000 91708452,992000
895 1675561188 21413,600000 -1,000000 21413,600000 21413,600000 91708452,992000
895 1675561187 21413,600000 -1,000000 21413,600000 21413,600000 91708452,992000
895 1675561186 21413,600000 -1,000000 21413,600000 21413,600000 91708452,992000
895 1675561185 21413,600000 -1,000000 21413,600000 21413,600000 91708452,992000
895 1675561184 2127,400000 -1,000000 2127,400000 2127,400000 905166,152000
895 1675561183 2127,400000 -1,000000 2127,400000 2127,400000 905166,152000
895 1675561182 2127,400000 -1,000000 2127,400000 2127,400000 905166,152000
895 1675561181 2127,400000 -1,000000 2127,400000 2127,400000 905166,152000
895 1675561180 2127,400000 -1,000000 2127,400000 2127,400000 905166,152000
895 1675561179 20367,400000 -1,000000 20367,400000 20367,400000 82966196,552000
895 1675561178 20367,400000 -1,000000 20367,400000 20367,400000 82966196,552000
895 1675561177 20367,400000 -1,000000 20367,400000 20367,400000 82966196,552000
895 1675561176 20367,400000 -1,000000 20367,400000 20367,400000 82966196,552000
895 1675561175 20367,400000 -1,000000 20367,400000 20367,400000 82966196,552000
895 1675561174 1089,400000 -1,000000 1089,400000 1089,400000 237358,472000
895 1675561173 1089,400000 -1,000000 1089,400000 1089,400000 237358,472000
895 1675561172 1089,400000 -1,000000 1089,400000 1089,400000 237358,472000
895 1675561171 1089,400000 -1,000000 1089,400000 1089,400000 237358,472000
895 1675561170 1089,400000 -1,000000 1089,400000 1089,400000 237358,472000
895 1675561169 3662,000000 -1,000000 3662,000000 3662,000000 2682048,800000
895 1675561168 3662,000000 -1,000000 3662,000000 3662,000000 2682048,800000
895 1675561167 3662,000000 -1,000000 3662,000000 3662,000000 2682048,800000
895 1675561166 3662,000000 -1,000000 3662,000000 3662,000000 2682048,800000
895 1675561165 3662,000000 -1,000000 3662,000000 3662,000000 2682048,800000
895 1675561164 1855,200000 -1,000000 1855,200000 1855,200000 688353,408000
895 1675561163 1855,200000 -1,000000 1855,200000 1855,200000 688353,408000
895 1675561162 1855,200000 -1,000000 1855,200000 1855,200000 688353,408000
895 1675561161 1855,200000 -1,000000 1855,200000 1855,200000 688353,408000
895 1675561160 1855,200000 -1,000000 1855,200000 1855,200000 688353,408000
